id,final_status,category,subject,path,line,confidence,risk,proof_eligible,loc,bytes,status_reason
CRT-006,REVIEW,orphan-file,apps/web/src/components/ai-elements/tool.tsx,apps/web/src/components/ai-elements/tool.tsx,,high,low,True,167,5069,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-020,REVIEW,orphan-file,apps/web/src/components/ui/accordion.tsx,apps/web/src/components/ui/accordion.tsx,,high,low,True,68,2195,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-022,REVIEW,orphan-file,apps/web/src/components/ui/alert.tsx,apps/web/src/components/ui/alert.tsx,,high,low,True,84,2456,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-024,REVIEW,orphan-file,apps/web/src/components/ui/avatar.tsx,apps/web/src/components/ui/avatar.tsx,,high,low,True,52,1193,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-026,REVIEW,orphan-file,apps/web/src/components/ui/breadcrumb.tsx,apps/web/src/components/ui/breadcrumb.tsx,,high,low,True,110,2530,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-029,REVIEW,orphan-file,apps/web/src/components/ui/calendar.tsx,apps/web/src/components/ui/calendar.tsx,,high,low,True,135,5327,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-030,REVIEW,orphan-file,apps/web/src/components/ui/card.tsx,apps/web/src/components/ui/card.tsx,,high,low,True,253,7076,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-031,REVIEW,orphan-file,apps/web/src/components/ui/checkbox-group.tsx,apps/web/src/components/ui/checkbox-group.tsx,,high,low,True,19,458,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-032,REVIEW,orphan-file,apps/web/src/components/ui/checkbox.tsx,apps/web/src/components/ui/checkbox.tsx,,high,low,True,68,2935,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-034,REVIEW,orphan-file,apps/web/src/components/ui/combobox.tsx,apps/web/src/components/ui/combobox.tsx,,high,low,True,435,15092,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-040,REVIEW,orphan-file,apps/web/src/components/ui/empty.tsx,apps/web/src/components/ui/empty.tsx,,high,low,True,134,3511,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-041,REVIEW,orphan-file,apps/web/src/components/ui/field.tsx,apps/web/src/components/ui/field.tsx,,high,low,True,80,1796,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-042,REVIEW,orphan-file,apps/web/src/components/ui/fieldset.tsx,apps/web/src/components/ui/fieldset.tsx,,high,low,True,32,705,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-043,REVIEW,orphan-file,apps/web/src/components/ui/form.tsx,apps/web/src/components/ui/form.tsx,,high,low,True,13,309,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
